empid,FirstName,LastName,gender,Job Title Description,Hire Date,Rehire Date,Termination Date,Termination Reason Description,City,State,Zip,Business Unit Code,Pay Frequency,BirthDate,RegularPayRate,Scheduled Hours,Pay Grade Description,FLSA Code,Protected Veteran Status,Voluntary Involuntary Termination Flag,Home Department Code,Standard Hours,Years of Service,Position Status,Location Code,isTerm_F,is90_Day_Rookie_F,isOneYear_Rookie_F
133,,,Female,C/O Dining Room Supervisor,7/27/17,NULL,NULL,,Webster,NY,14580,4830,Weekly,1/1/90,,40,25,N,I am not a protected veteran,,482121,,"0 year, 6 months",Active,40000,0,0,0
138,,,Female,Retail Service Associate Bistr,9/28/15,NULL,1/9/18,Absentee-Tardiness,Rochester,NY,14609,1828,Weekly,1/1/90,,30,22,N,I am not a protected veteran,Involuntary,182375,,"2 year, 3 months",Terminated,11000,1,0,0
141,,,Female,PM Dining Service Assistant,4/10/17,NULL,4/18/18,Poor Performance,Rochester,NY,14609,1814,Weekly,1/1/96,,14,20,N,I am not a protected veteran,,181173,,"0 year, 10 months",Active,11000,1,0,0
145,,,Female,PT Assistant,4/29/02,NULL,NULL,,Caledonia,NY,14423,1733,Weekly,1/1/71,,40,27,N,,,173302,,"15 year, 9 months",Active,11000,0,0,0
149,,,Female,Nursing Supervisor,8/23/10,NULL,NULL,,Webster,NY,14580,1601,Weekly,1/1/75,,1,32,N,,,160103,,"7 year, 5 months",Active,11000,0,0,0
157,,,Female,Clinical Dietician,2/20/17,NULL,NULL,,North Chili,NY,14514,1840,Weekly,1/1/85,,40,28,N,I am not a protected veteran,,182101,,"0 year, 11 months",Active,11000,0,0,0
158,,,Female,CNA SACC,10/23/17,NULL,NULL,,Walworth,NY,14568,2600,Weekly,1/1/68,,37.5,22,N,I am not a protected veteran,,260405,,"0 year, 3 months",Active,20000,0,0,0
159,,,Female,Clinical Dietician - Part time,1/16/18,1/16/18,NULL,,Penfield,NY,14526,1840,Weekly,1/1/74,,15,28,N,I am not a protected veteran,,182102,,"0 year, 1 month",Active,11000,0,0,0
170,,,Female,Nursing Care Coordinator WTCC3,2/27/12,NULL,NULL,,Rochester,NY,14615,1618,Weekly,1/1/88,,40,31,N,,,161337,,"5 year, 11 months",Active,16130,0,0,0
172,,,Female,C/R Assistant Svc,11/3/14,NULL,NULL,,Rochester,NY,14620,6834,Weekly,1/1/71,,37.5,20,N,I am not a protected veteran,,682407,,"3 year, 3 months",Active,60000,0,0,0
175,,,Female,CNA 7th Flr,1/23/17,NULL,NULL,,Rochester,NY,14607,1627,Weekly,1/1/96,,37.5,22,N,I am not a protected veteran,,162752,,"1 year, 0 month",Active,11000,0,0,0
177,,,Female,Nutrition Assistant,3/30/16,NULL,NULL,,Rochester,NY,14613,1840,Weekly,1/1/97,,37.5,22,N,I am not a protected veteran,,182173,,"1 year, 10 months",Active,11000,0,0,0
183,,,Female,6th Flr Nurse Manager,12/13/10,NULL,NULL,,Chili,NY,14624,1626,Biweekly,1/1/70,,40,33,E,,,162612,80,"7 year, 2 months",Active,11000,0,0,0
184,,,Female,CNA 6th Flr,8/24/15,NULL,NULL,,Rochester,NY,14605,1626,Weekly,1/1/90,,37.5,22,N,I am not a protected veteran,,162652,,"2 year, 5 months",Active,11000,0,0,0
235,,,Male,Env Svc Assistant,3/5/18,NULL,NULL,,Rochester,NY,14611,1824,Weekly,1/1/96,,37.5,20,N,I am not a protected veteran,,182407,,"0 year, 0 month",Active,11000,0,0,0
237,,,Male,Operations Manager,3/5/18,NULL,NULL,,Rochester,NY,14616,1601,Biweekly,1/1/78,,40,32,E,"I am a protected veteran, but I choose not to self-identify the classification to which I belong",,160101,80,"0 year, 0 month",Active,11000,0,0,0
244,,,Female,SA Receptionist,3/5/18,NULL,NULL,,Rochester,NY,14606,1864,Weekly,1/1/58,,8,21,N,I am not a protected veteran,,183816,,"0 year, 0 month",Active,11000,0,0,0
245,,,Female,Dining Service Assistant,3/5/18,NULL,NULL,,Rochester,NY,14621,1800,Weekly,1/1/89,,7.5,20,N,I am not a protected veteran,,182172,,"0 year, 0 month",Active,11000,0,0,0
246,,,Female,Operations Manager,3/5/18,NULL,NULL,,Rochester,NY,14619,1601,Biweekly,1/1/74,,40,32,E,I am not a protected veteran,,160101,80,"0 year, 0 month",Active,11000,0,0,0
249,,,Male,PM Dining Service Assistant,3/5/18,NULL,NULL,,Rochester,NY,14621,1814,Weekly,1/1/98,,14,20,N,I am not a protected veteran,,181173,,"0 year, 0 month",Active,11000,0,0,0
250,,,Female,C/O Waitstaff,3/13/18,NULL,NULL,,Rochester,NY,14615,4830,Weekly,1/1/00,,1,20,N,I am not a protected veteran,,482121,,"0 year, 0 month",Active,40000,0,0,0
251,,,Female,C/O Waitstaff,3/6/18,NULL,NULL,,Rochester,NY,14617,4830,Weekly,1/1/00,,1,20,N,I am not a protected veteran,,482121,,"0 year, 0 month",Active,40000,0,0,0
254,,,Female,CNA WTCC2,6/21/10,NULL,NULL,,Rochester,NY,14606,1615,Weekly,1/1/90,,24,22,N,,,161257,,"7 year, 7 months",Active,16120,0,0,0
257,,,Female,CNA SCU,2/13/06,NULL,NULL,,Rochester,NY,14612,1616,Weekly,1/1/68,,1,22,N,,,160156,,"12 year, 0 month",Active,16010,0,0,0
261,,,Female,LPN WTCC1,1/28/08,NULL,NULL,,Rochester,NY,14611,1614,Weekly,1/1/83,,20,26,N,,,161147,,"10 year, 0 month",Active,16110,0,0,0
269,,,Female,CNA SACC,4/6/15,NULL,NULL,,Rochester,NY,14609,2600,Weekly,1/1/71,,1,22,N,I am not a protected veteran,,260405,,"2 year, 10 months",Active,20000,0,0,0
270,,,Female,Nourishment Specialist,8/24/15,NULL,1/21/18,Another Job,Rochester,NY,14619,1813,Weekly,1/1/76,,40,20,N,,Voluntary,182172,,"2 year, 4 months",Terminated,11000,1,0,0
271,,,Female,TCC Dining Ambassador,5/8/17,NULL,NULL,,Rochester,NY,14611,1800,Weekly,1/1/72,,40,21,N,I am not a protected veteran,,182176,,"0 year, 9 months",Active,11000,0,0,0
284,,,Female,Social Worker MSW,9/30/91,1/14/08,NULL,,Hilton,NY,14468,1770,Biweekly,1/1/65,,40,28,E,,,173802,80,"10 year, 1 month",Active,11000,0,0,0
288,,,Female,Speech Pathologist,4/20/15,NULL,NULL,,Spencerport,NY,14559,2735,Biweekly,1/1/74,,40,32,E,I am not a protected veteran,,273502,80,"2 year, 9 months",Active,20000,0,0,0
289,,,Female,Nourishment Specialist,10/9/17,NULL,NULL,,Rochester,NY,14609,1813,Weekly,1/1/65,,40,20,N,I am not a protected veteran,,182172,,"0 year, 4 months",Active,11000,0,0,0
290,,,Female,Software Developer,12/18/17,NULL,NULL,,Rochester,NY,14624,1866,Biweekly,1/1/75,,40,31,E,I am not a protected veteran,,183192,80,"0 year, 1 month",Active,11000,0,0,0
296,,,Female,Env Svc Assistant,5/26/92,NULL,NULL,,Rochester,NY,14609,1824,Weekly,1/1/53,,40,20,N,,,182407,,"25 year, 8 months",Active,11000,0,0,0
298,,,Female,Env Svc Assistant,11/5/01,7/7/15,NULL,,Rochester,NY,14609,1824,Weekly,1/1/48,,1,20,N,I am not a protected veteran,,182407,,"2 year, 7 months",Active,11000,0,0,0
304,,,Female,Medical Clinic RN,1/24/94,NULL,NULL,,Rochester,NY,14617,1740,Biweekly,1/1/57,,40,30,E,,,174103,80,"24 year, 0 month",Active,11000,0,0,0
307,,,Female,CNA 2nd Flr,6/14/99,5/7/12,NULL,,Rochester,NY,14602,1622,Weekly,1/1/62,,37.5,22,N,,,162952,,"5 year, 9 months",Active,11000,0,0,0
313,,,Female,Nursing Supervisor,12/12/05,NULL,NULL,,Rochester,NY,14616,2600,Weekly,1/1/69,,1,32,N,,,260402,,"12 year, 2 months",Active,20000,0,0,0
318,,,Female,CNA 9th Flr,7/23/07,NULL,NULL,,Rochester,NY,14621,1629,Weekly,1/1/79,,1,22,N,,,161652,,"10 year, 6 months",Active,11000,0,0,0
323,,,Female,LPN WTCC2,5/22/95,9/13/04,5/4/18,Another Job,Rochester,NY,14613,1615,Weekly,1/1/62,,40,26,N,,,161247,,"13 year, 5 months",Active,16120,1,0,0
325,,,Female,CNA 4th Flr,12/18/17,NULL,NULL,,Rochester,NY,14609,1624,Weekly,1/1/76,,40,22,N,I am not a protected veteran,,162452,,"0 year, 1 month",Active,11000,0,0,0
346,,,Female,LPN 7th Flr,11/5/07,NULL,NULL,,Rochester,NY,14613,1627,Weekly,1/1/78,,40,26,N,,,162742,,"10 year, 3 months",Active,11000,0,0,0
347,,,Female,CNA 3rd Flr,3/6/17,NULL,NULL,,Rochester,NY,14621,1623,Weekly,1/1/91,,37.5,22,N,I am not a protected veteran,,162352,,"0 year, 11 months",Active,11000,0,0,0
360,,,Female,CNA SACC,3/23/15,NULL,NULL,,Rochester,NY,14609,2600,Weekly,1/1/66,,37.5,22,N,I am not a protected veteran,,260405,,"2 year, 10 months",Active,20000,0,0,0
366,,,Female,LPN 5th Flr,9/11/17,NULL,NULL,,Rochester,NY,14611,1625,Weekly,1/1/76,,40,26,N,I am not a protected veteran,,162542,,"0 year, 5 months",Active,11000,0,0,0
369,,,Female,Physical Therapist,9/26/11,NULL,NULL,,Avon,NY,14414,1733,Biweekly,1/1/87,,40,32,E,,,173302,80,"6 year, 4 months",Active,11000,0,0,0
376,,,Female,LPN WTCC1,9/14/15,NULL,NULL,,Rochester,NY,14619,1614,Weekly,1/1/88,,1,26,N,I am not a protected veteran,,161147,,"2 year, 5 months",Active,16110,0,0,0
377,,,Male,TCC Dining Ambassador,1/25/10,NULL,NULL,,Rochester,NY,14609,1800,Weekly,1/1/89,,16,21,N,,,182176,,"8 year, 0 month",Active,11000,0,0,0
379,,,Female,CNA SACC,3/9/09,11/30/15,NULL,,Rochester,NY,14613,2600,Weekly,1/1/78,,1,22,N,I am not a protected veteran,,260405,,"2 year, 2 months",Active,20000,0,0,0
384,,,Female,LPN 7th Flr,11/6/17,11/6/17,NULL,,Rochester,NY,14609,STANNS,Weekly,1/1/86,,1,26,N,,,162742,,"0 year, 3 months",Active,11000,0,0,0
400,,,Female,HIM Associate,11/3/14,NULL,NULL,,Rochester,NY,14608,1724,Weekly,1/1/88,,37.5,22,N,I am not a protected veteran,,173906,,"3 year, 3 months",Active,11000,0,0,0
404,,,Female,CNA 4th Flr,6/6/16,6/6/16,NULL,,Rochester,NY,14621,1624,Weekly,1/1/86,,1,22,N,I am not a protected veteran,,162452,,"1 year, 8 months",Active,11000,0,0,0
407,,,Female,C/R ALU LPN Supervisor,8/19/17,NULL,NULL,,Rochester,NY,14616,6865,Weekly,1/1/90,,32,28,N,I am not a protected veteran,,660224,,"0 year, 5 months",Active,60000,0,0,0
408,,,Female,C/O Waitstaff,9/26/17,NULL,NULL,,Irondequoit,NY,14617,4833,Weekly,1/1/91,,1,20,N,I am not a protected veteran,,482127,,"0 year, 4 months",Active,40000,0,0,0
409,,,Female,C/O Waitstaff,12/11/17,NULL,3/14/18,No return from leave,Rochester,NY,14608,4830,Weekly,1/1/97,,1,20,N,I am not a protected veteran,,482121,,"0 year, 2 months",Active,40000,1,0,1
410,,,Female,LPN 2nd Flr,12/11/17,NULL,NULL,,Rochester,NY,14615,1622,Weekly,1/1/88,,40,26,N,I am not a protected veteran,,162942,,"0 year, 2 months",Active,11000,0,0,0
426,,,Female,PM Cook,6/6/16,NULL,NULL,,Rochester,NY,14621,1814,Weekly,1/1/90,,30,23,N,I am not a protected veteran,,182171,,"1 year, 8 months",Active,11000,0,0,0
430,,,Female,CNA 3rd Flr,7/11/16,NULL,NULL,,Rochester,NY,14615,1623,Weekly,1/1/88,,24,22,N,I am not a protected veteran,,162352,,"1 year, 7 months",Active,11000,0,0,0
433,,,Female,CNA SCU,5/11/09,NULL,NULL,,Rochester,NY,14616,1616,Weekly,1/1/78,,37.5,22,N,,,160156,,"8 year, 9 months",Active,16010,0,0,0
436,,,Female,Part Time Health Nurse Coordinator,9/10/07,NULL,NULL,,Rochester,NY,14617,3610,Weekly,1/1/46,,8,31,N,,,160803,,"10 year, 5 months",Active,16080,0,0,0
439,,,Female,Sr. LPN 7th Floor,8/14/06,NULL,NULL,,Rochester,NY,14624,1627,Weekly,1/1/70,,40,28,N,,,162732,,"11 year, 6 months",Active,11000,0,0,0
440,,,Female,C/R Concierge,10/2/06,NULL,NULL,,Walworth,NY,14568,6820,Weekly,1/1/66,,13.5,22,N,,,683816,,"11 year, 4 months",Active,60000,0,0,0
441,,,Female,Resident Care Aide - The Glen,11/26/07,NULL,NULL,,Ontario,NY,14519,6865,Weekly,1/1/73,,37.5,21,N,,,660225,,"10 year, 2 months",Active,60000,0,0,0
444,,,Female,Manager Volunteer Services,12/4/78,NULL,NULL,,Webster,NY,14580,1754,Biweekly,1/1/55,,40,31,E,,,183562,80,"39 year, 2 months",Active,11000,0,0,0
446,,,Female,Reimbursement Supervisor,3/19/12,NULL,NULL,,Victor,NY,14564,1600,Biweekly,1/1/59,,40,34,E,,,160091,80,"5 year, 10 months",Active,11000,0,0,0
450,,,Male,C/R KUA/Runner,6/20/05,11/21/16,NULL,,Rochester,NY,14611,6840,Weekly,1/1/51,,32,20,N,,,682117,,"1 year, 2 months",Active,60000,0,0,0
451,,,Male,Dining Service Assistant,6/15/15,NULL,4/25/18,Absentee-Tardiness,Rochester,NY,14605,1813,Weekly,1/1/93,,37.5,20,N,I decline to self-identify,,182172,,"2 year, 8 months",Active,11000,1,0,0
463,,,Female,TCC Dining Ambassador,9/23/13,NULL,NULL,,Rochester,NY,14624,1800,Weekly,1/1/68,,20,21,N,,,182176,,"4 year, 4 months",Active,11000,0,0,0
466,,,Female,Physical Therapist,8/24/15,NULL,NULL,,Honeoye Falls,NY,14472,1733,Biweekly,1/1/88,,40,32,E,I am not a protected veteran,,173302,80,"2 year, 5 months",Active,11000,0,0,0
470,,,Female,CNA SCU,6/12/06,NULL,NULL,,Rochester,NY,14606,1616,Weekly,1/1/71,,37.5,22,N,,,160156,,"11 year, 8 months",Active,16010,0,0,0
474,,,Female,Pharmacy Intern,10/9/17,NULL,NULL,,East Rochester,NY,14445,1760,Weekly,1/1/91,,15,25,N,I am not a protected veteran,,172705,,"0 year, 4 months",Active,11000,0,0,0
481,,,Female,CNA 5th Flr,11/8/04,NULL,NULL,,Rochester,NY,14615,1625,Weekly,1/1/68,,40,22,N,,,162552,,"13 year, 3 months",Active,11000,0,0,0
487,,,Female,Sr. CNA/Preceptor SCU,4/22/85,NULL,NULL,,Rochester,NY,14621,1616,Weekly,1/1/58,,40,23,N,,,160156,,"32 year, 9 months",Active,16010,0,0,0
488,,,Male,ITS Manager,4/16/07,NULL,NULL,,North Chili,NY,14514,1866,Biweekly,1/1/63,,40,32,E,,,183192,80,"10 year, 10 months",Active,11000,0,0,0
502,,,Male,C/R Cook,5/18/15,NULL,NULL,,Williamson,NY,14589,6840,Weekly,1/1/96,,30,23,N,I am not a protected veteran,,682117,,"2 year, 8 months",Active,60000,0,0,0
504,,,Male,C/R Waitstaff,12/6/16,NULL,NULL,,Ontario,NY,14519,6845,Weekly,1/1/99,,20,20,N,I am not a protected veteran,,682127,,"1 year, 2 months",Active,60000,0,0,0
513,,,Female,CNA 3rd Flr,9/11/95,4/24/17,NULL,,Rochester,NY,14610,1623,Weekly,1/1/60,,1,22,N,,,162352,,"0 year, 9 months",Active,11000,0,0,0
530,,,Male,Clinical Dietician Per Diem,10/6/08,4/6/15,NULL,,Pittsford,NY,14534,1840,Weekly,1/1/79,,1,28,N,I identify myself as one or more of the classifications of protected veteran,,182102,,"2 year, 10 months",Active,11000,0,0,0
532,,,Male,Staff Pharmacist,11/28/11,NULL,NULL,,Penfield,NY,14526,1760,Biweekly,1/1/78,,40,37,E,,,172702,80,"6 year, 2 months",Active,11000,0,0,0
533,,,Male,Staff Attending Physician,4/25/16,NULL,NULL,,Spencerport,NY,14559,1740,Biweekly,1/1/83,,40,"88- Physician, 10% Target Bonus",E,I am not a protected veteran,,174108,80,"1 year, 9 months",Active,11000,0,0,0
535,,,Male,Staff Attending Physician,5/31/17,NULL,NULL,,Rochester,NY,14625,1740,Biweekly,1/1/67,,40,"88- Physician, 10% Target Bonus",E,I am not a protected veteran,,174108,80,"0 year, 8 months",Active,11000,0,0,0
537,,,Female,CNA SACC,12/11/17,NULL,NULL,,Rochester,NY,14605,2600,Weekly,1/1/89,,37.5,22,N,I am not a protected veteran,,260405,,"0 year, 2 months",Active,20000,0,0,0
543,,,Female,CNA 9th Flr,8/7/17,NULL,NULL,,Rochester,NY,14613,1629,Weekly,1/1/95,,20,22,N,I am not a protected veteran,,161652,,"0 year, 6 months",Active,11000,0,0,0
547,,,Female,LPN SCU,9/23/09,NULL,NULL,,Rochester,NY,14613,1616,Weekly,1/1/66,,8,26,N,,,160146,,"8 year, 4 months",Active,16010,0,0,0
552,,,Female,PM Dining Service Assistant,1/4/16,NULL,NULL,,Rochester,NY,14609,1814,Weekly,1/1/89,,14,20,N,I am not a protected veteran,,181173,,"2 year, 1 month",Active,11000,0,0,0
554,,,Female,CNA 6th Flr,9/11/17,NULL,NULL,,Rochester,NY,14611,1626,Weekly,1/1/86,,37.5,22,N,I am not a protected veteran,,162652,,"0 year, 5 months",Active,11000,0,0,0
556,,,Female,CNA 4th Flr,10/17/16,NULL,NULL,,Rochester,NY,14605,1624,Weekly,1/1/89,,37.5,22,N,I am not a protected veteran,,162452,,"1 year, 3 months",Active,11000,0,0,0
561,,,Female,CNA 7th Flr,1/24/11,NULL,NULL,,Rochester,NY,14612,1627,Weekly,1/1/90,,20,22,N,,,162752,,"7 year, 0 month",Active,11000,0,0,0
562,,,Female,Resident Care Aide - Rainier Grove,5/23/11,NULL,NULL,,Penfield,NY,14526,6870,Weekly,1/1/92,,37.5,21,N,,,660195,,"6 year, 8 months",Active,60000,0,0,0
